participant,Start Date,age,race,gender,gender_other,prsri_1,prsri_2,prsri_3,prsri_4,prsri_5,prsri_6,prsri_7,prsri_8,psqi_1_hour,psqi_1_min,psqi_1_ampm,psqi_2,psqi_3_hour,psqi_3_min,psqi_3_ampm,psqi_4,psqi_5a,psqi_5b,psqi_6,meq_19,erqf_1,erqf_2,erqf_3,erqf_4,erqf_5,erqf_6,erqf_7,erqf_8,erqf_9,erqf_10,erqdf_1,erqdf_2,erqdf_3,erqdf_4,pers_1,pers_2,pers_3,pers_4,pers_5,pers_6,pers_7,pers_8,pers_9,pers_10,pers_11,pers_12,pers_13,pers_14,pers_15,pers_16,pers_17,pers_18,pers_19,pers_20,pers_21,pers_22,pers_23,pers_24,pers_25,pers_26,pers_27,pers_28,pers_29,pers_30,erqse_1,erqse_2,erqse_3,erqse_4,erqse_5,erqse_6,erqse_7,erqse_8,erqse_att,erqse_9,erqse_10,erqse_11,erqse_12,erqse_13,erqse_14
0140,10/11/2018 16:14,20,Hispanic / Latino,Female,,Somewhat,A little bit,Somewhat,Quite a bit,Somewhat,Somewhat,Quite a bit,Somewhat,1,0,AM,15,9,0,AM,6.5,Once or twice a week,Three or more times a week,Fairly bad,Rather more an evening type than a morning type,4,6,2,1,4,7,5,3,6,3,3,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0141,10/12/2018 13:58,18,"Black / African American,White / European American",Female,,Somewhat,A little bit,Very much,A little bit,A little bit,A little bit,Somewhat,A little bit,12,15,AM,5,8,45,AM,8,Not during the past month,Less than once a week,Fairly good,Definitely an evening type,6,5,5,1,4,4,6,5,6,6,4,6,5,5,Very like me,Somewhat like me,Very like me,Somewhat like me,Very like me,Neither like or unlike me,Somewhat like me,Neither like or unlike me,Very like me,Somewhat unlike me,Very like me,Neither like or unlike me,Very like me,Neither like or unlike me,Very like me,Somewhat unlike me,Very like me,Neither like or unlike me,Very like me,Somewhat unlike me,Very like me,Somewhat unlike me,Very like me,Somewhat unlike me,Very like me,Somewhat unlike me,Very like me,Neither like or unlike me,Somewhat like me,Somewhat unlike me,6,7,5,3,5,6,6,6,5,7,5,5,6,5,5
0142,10/12/2018 19:42,18,Asian / Asian American,Female,,Somewhat,A little bit,Quite a bit,Quite a bit,Quite a bit,Not at all,Somewhat,Somewhat,1,30,AM,3,8,0,AM,7,Not during the past month,Not during the past month,Fairly good,Rather more an evening type than a morning type,5,3,3,5,5,1,5,5,3,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0143,10/12/2018 20:41,18,White / European American,Male,,A little bit,A little bit,Somewhat,A little bit,Somewhat,Somewhat,Somewhat,Somewhat,11,0,PM,10,8,30,AM,8.5,Not during the past month,Not during the past month,Fairly good,Rather more a morning type than an evening type,6,3,6,2,6,1,6,6,1,6,7,7,6,6,Very like me,Somewhat like me,Very like me,Somewhat like me,Very like me,Somewhat like me,Somewhat like me,Somewhat like me,Very like me,Somewhat like me,Very like me,Very like me,Very like me,Somewhat like me,Very like me,Somewhat like me,Very like me,Somewhat like me,Somewhat like me,Somewhat like me,Very like me,Somewhat like me,Somewhat like me,Somewhat like me,Very like me,Neither like or unlike me,Very like me,Neither like or unlike me,Somewhat like me,Somewhat like me,6,3,6,2,6,2,6,6,5,2,6,7,6,7,6
0144,10/12/2018 23:17,19,Asian / Asian American,Female,,Quite a bit,Somewhat,Quite a bit,Somewhat,A little bit,A little bit,Somewhat,Somewhat,1,0,AM,10,8,0,AM,7,Not during the past month,Not during the past month,Very good,Rather more a morning type than an evening type,6,5,4,4,6,4,7,6,5,6,5,4,6,4,Very like me,Somewhat unlike me,Very like me,Somewhat unlike me,Very like me,Somewhat unlike me,Neither like or unlike me,Somewhat like me,Very like me,Very unlike me,Somewhat like me,Somewhat unlike me,Very like me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Very like me,Somewhat unlike me,Neither like or unlike me,Somewhat unlike me,Very like me,Somewhat unlike me,Very like me,Very unlike me,Very like me,Somewhat unlike me,Neither like or unlike me,Somewhat unlike me,Very like me,Somewhat unlike me,6,6,5,4,5,5,6,6,5,5,6,5,5,6,6
0145,10/13/2018 17:11,18,White / European American,Female,,Quite a bit,Not at all,Quite a bit,Quite a bit,Quite a bit,A little bit,Somewhat,Not at all,12,30,AM,15,8,15,AM,7.5,Once or twice a week,Not during the past month,Fairly good,Rather more a morning type than an evening type,5,2,2,1,5,1,6,7,2,7,2,2,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0146,10/13/2018 22:29,19,Asian / Asian American,Female,,Somewhat,Somewhat,Quite a bit,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,11,15,PM,20,6,30,AM,6.5,Once or twice a week,Three or more times a week,Fairly bad,Definitely a morning type,3,3,5,3,1,2,2,2,2,2,3,4,3,2,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Neither like or unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,Neither like or unlike me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Neither like or unlike me,Somewhat like me,Somewhat like me,Somewhat like me,Neither like or unlike me,Somewhat like me,Very like me,Very like me,Very like me,Somewhat like me,Very like me,Very like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,3,2,3,2,2,2,3,3,5,3,3,5,5,3,5
0147,10/14/2018 9:36,18,White / European American,Male,,Somewhat,Not at all,Somewhat,Somewhat,Somewhat,A little bit,Somewhat,A little bit,2,0,AM,20,9,30,AM,7,Once or twice a week,Less than once a week,Fairly bad,Definitely an evening type,6,3,5,2,5,3,6,4,5,5,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0148,10/14/2018 12:39,19,White / European American,Female,,Very much,Somewhat,Very much,Quite a bit,Quite a bit,Quite a bit,Very much,Somewhat,11,10,PM,20,8,2,AM,7,Less than once a week,Once or twice a week,Fairly bad,Rather more a morning type than an evening type,3,4,5,1,3,5,3,4,4,5,6,4,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0149,10/14/2018 13:18,18,"Hispanic / Latino,White / European American",Male,,A little bit,Quite a bit,Somewhat,A little bit,Somewhat,A little bit,Somewhat,A little bit,2,0,AM,10,9,15,AM,7,Less than once a week,Less than once a week,Fairly good,Definitely an evening type,5,6,4,3,5,6,6,6,4,5,4,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0150,10/14/2018 15:32,19,White / European American,Female,,Very much,A little bit,Very much,Very much,Very much,Quite a bit,Very much,Very much,11,35,PM,5,5,25,AM,5.5,Not during the past month,Less than once a week,Very good,Definitely an evening type,3,6,5,4,3,7,3,2,6,4,5,4,5,5,Somewhat unlike me,Neither like or unlike me,Neither like or unlike me,Very like me,Very unlike me,Somewhat like me,Very unlike me,Somewhat like me,Somewhat unlike me,Neither like or unlike me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Very like me,Very unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Somewhat unlike me,Somewhat like me,Very like me,Somewhat like me,Somewhat like me,Somewhat unlike me,Somewhat like me,4,7,4,4,6,3,3,4,5,7,3,5,4,3,3
0151,10/14/2018 15:34,19,White / European American,Male,,A little bit,A little bit,Somewhat,Not at all,Not at all,A little bit,A little bit,Not at all,1,30,AM,40,9,40,AM,6.5,Once or twice a week,Once or twice a week,Fairly good,Rather more an evening type than a morning type,6,5,6,2,6,2,6,5,3,6,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0152,10/14/2018 15:42,18,Asian / Asian American,Male,,Quite a bit,A little bit,Quite a bit,Quite a bit,Very much,Very much,Very much,Quite a bit,4,0,AM,20,10,30,AM,6,Once or twice a week,Once or twice a week,Fairly bad,Definitely a morning type,6,7,6,5,4,7,4,3,7,6,6,5,5,6,Neither like or unlike me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Neither like or unlike me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Neither like or unlike me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Neither like or unlike me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Neither like or unlike me,Somewhat like me,Somewhat like me,5,5,3,5,5,6,5,6,5,4,5,6,5,6,6
0153,10/14/2018 17:09,19,White / European American,Male,,A little bit,Somewhat,A little bit,Not at all,A little bit,Not at all,A little bit,Not at all,2,0,AM,10,10,0,AM,7.5,Less than once a week,Less than once a week,Fairly good,Rather more an evening type than a morning type,5,5,5,3,6,3,5,5,4,5,3,5,4,5,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat unlike me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,Somewhat like me,Somewhat like me,Neither like or unlike me,Somewhat like me,Neither like or unlike me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,Neither like or unlike me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat unlike me,Neither like or unlike me,Neither like or unlike me,6,5,5,6,6,6,6,6,5,5,5,5,5,4,5
0154,10/14/2018 17:11,19,White / European American,Male,,Quite a bit,Somewhat,Quite a bit,Somewhat,Somewhat,A little bit,Very much,Very much,12,11,AM,30,9,0,AM,8,Once or twice a week,Not during the past month,Fairly good,Definitely an evening type,6,3,7,1,6,1,5,4,3,6,6,6,4,4,Somewhat like me,Somewhat like me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Neither like or unlike me,Neither like or unlike me,Somewhat like me,Somewhat like me,Somewhat unlike me,Very like me,Very like me,Somewhat like me,Neither like or unlike me,Neither like or unlike me,Somewhat unlike me,Very like me,Somewhat like me,Neither like or unlike me,Somewhat like me,Somewhat like me,Neither like or unlike me,Somewhat like me,Very like me,Somewhat like me,Neither like or unlike me,Somewhat unlike me,Somewhat unlike me,Somewhat like me,Somewhat like me,5,5,6,3,6,3,7,7,5,5,6,6,6,6,6
0155,10/14/2018 17:17,19,White / European American,Male,,Somewhat,A little bit,Quite a bit,A little bit,A little bit,Not at all,A little bit,Not at all,1,0,AM,2,9,30,AM,8,Not during the past month,Once or twice a week,Fairly good,Rather more an evening type than a morning type,5,4,3,6,7,3,4,5,3,4,2,3,3,7,Somewhat unlike me,Neither like or unlike me,Somewhat unlike me,Neither like or unlike me,Somewhat unlike me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Neither like or unlike me,Very unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Neither like or unlike me,Somewhat unlike me,Somewhat unlike me,Neither like or unlike me,Neither like or unlike me,Somewhat like me,Somewhat unlike me,Very unlike me,Neither like or unlike me,Neither like or unlike me,Somewhat unlike me,Neither like or unlike me,Somewhat unlike me,Very unlike me,Somewhat unlike me,Somewhat unlike me,3,6,4,6,5,4,3,4,5,4,3,2,4,3,4
0156,10/14/2018 21:16,19,White / European American,Male,,Not at all,Quite a bit,A little bit,Not at all,Not at all,Not at all,A little bit,Not at all,1,0,AM,10,8,0,AM,7,Not during the past month,Not during the past month,Very good,Definitely an evening type,2,4,2,3,6,3,5,3,6,3,2,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0157,10/14/2018 21:40,21,Black / African American,Female,,Somewhat,Quite a bit,Quite a bit,A little bit,A little bit,Not at all,A little bit,A little bit,12,0,AM,10,7,0,AM,6.5,Less than once a week,Less than once a week,Fairly good,Rather more a morning type than an evening type,6,4,3,2,6,3,6,4,6,6,6,5,5,4,Somewhat like me,Somewhat unlike me,Very like me,Somewhat like me,Somewhat like me,Very unlike me,Somewhat like me,Somewhat unlike me,Very like me,Neither like or unlike me,Very like me,Somewhat like me,Somewhat like me,Very unlike me,Somewhat like me,Somewhat unlike me,Very like me,Neither like or unlike me,Very like me,Very unlike me,Very unlike me,Somewhat unlike me,Very like me,Somewhat unlike me,Very like me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,6,7,6,4,6,6,6,6,5,5,7,7,6,4,4
0158,10/9/2018 22:33,18,Asian / Asian American,Male,,Somewhat,Not at all,Quite a bit,A little bit,Somewhat,A little bit,Somewhat,A little bit,1,12,AM,15,8,9,AM,6.5,Less than once a week,Not during the past month,Fairly good,Definitely an evening type,5,4,5,1,6,6,5,5,5,5,6,6,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0159,10/15/2018 5:31,19,"Black / African American,White / European American",Female,,A little bit,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Quite a bit,Very much,12,0,AM,10,5,0,AM,5,Less than once a week,Three or more times a week,Fairly good,Rather more a morning type than an evening type,3,6,3,3,5,4,5,3,5,4,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0160,10/15/2018 9:19,20,White / European American,Female,,Very much,Not at all,Very much,Very much,Very much,Very much,Very much,Very much,3,0,AM,20,9,30,AM,5.5,Once or twice a week,Three or more times a week,Very bad,Rather more an evening type than a morning type,4,2,4,4,2,3,4,4,3,4,2,4,4,4,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Somewhat like me,Neither like or unlike me,Somewhat like me,Neither like or unlike me,Somewhat unlike me,Very like me,Neither like or unlike me,Somewhat like me,Somewhat unlike me,Very like me,Somewhat like me,Very unlike me,Somewhat like me,Somewhat unlike me,Neither like or unlike me,Neither like or unlike me,3,5,5,6,4,3,6,3,5,6,7,5,3,5,4
0161,10/15/2018 12:32,24,Asian / Asian American,Male,,A little bit,Quite a bit,A little bit,Quite a bit,A little bit,Not at all,Somewhat,Not at all,9,30,PM,60,5,30,AM,7,Three or more times a week,Once or twice a week,Fairly good,Definitely a morning type,3,3,1,6,6,1,1,7,6,5,2,2,5,2,Somewhat like me,Somewhat unlike me,Somewhat unlike me,Somewhat unlike me,Somewhat unlike me,Somewhat unlike me,Somewhat unlike me,Somewhat unlike me,Somewhat like me,Very unlike me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Somewhat unlike me,Somewhat unlike me,Somewhat like me,Somewhat like me,Somewhat unlike me,Somewhat unlike me,Somewhat unlike me,Very unlike me,Somewhat unlike me,Somewhat like me,7,6,6,6,6,6,6,6,5,5,6,6,6,7,5
0162,10/15/2018 13:02,19,Black / African American,Female,,Very much,A little bit,Quite a bit,A little bit,A little bit,Not at all,Somewhat,Somewhat,1,20,AM,15,8,20,AM,5.5,Not during the past month,Not during the past month,Fairly good,Rather more a morning type than an evening type,6,4,5,3,6,5,5,5,5,6,5,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0163,10/15/2018 13:16,17,Hispanic / Latino,Female,,Quite a bit,A little bit,Quite a bit,Somewhat,Somewhat,A little bit,Quite a bit,Quite a bit,1,15,AM,15,8,0,AM,6,Less than once a week,Less than once a week,Fairly bad,Definitely an evening type,2,4,5,3,5,3,6,6,5,6,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0164,10/15/2018 13:22,19,Native American / Alaska Native,Female,,Somewhat,A little bit,Quite a bit,A little bit,Not at all,A little bit,Somewhat,Not at all,12,10,AM,15,9,0,AM,8,Less than once a week,Not during the past month,Fairly good,Rather more an evening type than a morning type,5,4,5,2,3,3,5,4,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0165,10/15/2018 10:11,19,Hispanic / Latino,Female,,Quite a bit,A little bit,Very much,Very much,Very much,Not at all,Very much,Very much,2,30,AM,10,6,30,AM,5.5,Not during the past month,Less than once a week,Fairly bad,Rather more a morning type than an evening type,7,7,5,1,3,7,6,4,7,4,5,6,3,4,Somewhat like me,Very like me,Somewhat like me,Very like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Neither like or unlike me,Very unlike me,Very like me,Very like me,Very like me,Very like me,Somewhat like me,Somewhat like me,Somewhat like me,Very like me,Somewhat like me,Somewhat like me,Very like me,Neither like or unlike me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat unlike me,Neither like or unlike me,Somewhat unlike me,Very like me,Somewhat like me,2,7,4,1,1,7,1,1,5,7,1,1,1,7,1
0166,10/15/2018 13:40,20,White / European American,Female,,A little bit,Somewhat,Quite a bit,A little bit,A little bit,Not at all,A little bit,Not at all,11,45,PM,10,7,0,AM,7,Not during the past month,Not during the past month,Very good,Rather more a morning type than an evening type,6,1,6,1,6,1,6,4,5,4,5,5,5,4,Somewhat like me,Somewhat unlike me,Very like me,Somewhat like me,Somewhat like me,Very unlike me,Very like me,Somewhat unlike me,Very like me,Very unlike me,Somewhat like me,Somewhat like me,Very like me,Somewhat unlike me,Very like me,Somewhat unlike me,Very like me,Neither like or unlike me,Somewhat like me,Very unlike me,Somewhat like me,Neither like or unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Neither like or unlike me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,6,5,5,4,4,4,6,5,5,4,5,4,6,4,3
0167,10/15/2018 13:38,18,Native American / Alaska Native,Female,,A little bit,Somewhat,Quite a bit,A little bit,Somewhat,Not at all,Quite a bit,A little bit,1,30,AM,12,8,15,AM,6,Less than once a week,Not during the past month,Fairly bad,Rather more a morning type than an evening type,6,6,6,2,2,4,5,4,6,5,6,6,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0168,10/15/2018 13:53,17,"Hispanic / Latino,Native American / Alaska Native",Male,,Somewhat,A little bit,Quite a bit,Somewhat,A little bit,Not at all,Quite a bit,A little bit,2,4,AM,15,9,30,AM,7.5,Less than once a week,Less than once a week,Fairly good,Rather more an evening type than a morning type,4,3,4,1,6,2,5,4,3,4,4,4,5,5,Somewhat like me,Somewhat unlike me,Somewhat like me,Somewhat like me,Neither like or unlike me,Neither like or unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,Neither like or unlike me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat unlike me,Somewhat like me,Neither like or unlike me,Very like me,Somewhat like me,Somewhat like me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,Somewhat like me,Very like me,Neither like or unlike me,Neither like or unlike me,Somewhat unlike me,Somewhat like me,Neither like or unlike me,5,6,5,2,5,3,5,5,5,5,5,5,5,5,5
0169,10/14/2018 20:49,19,White / European American,Female,,Very much,Not at all,Very much,Quite a bit,Quite a bit,Very much,Very much,Quite a bit,11,30,PM,15,5,30,AM,4,Not during the past month,Less than once a week,Fairly good,Rather more an evening type than a morning type,6,7,4,3,2,4,4,4,5,3,5,6,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0170,10/15/2018 14:32,20,Asian / Asian American,Female,,A little bit,Somewhat,Somewhat,A little bit,A little bit,A little bit,A little bit,A little bit,1,0,AM,5,9,0,AM,7.5,Not during the past month,Not during the past month,Very good,Definitely an evening type,7,5,7,2,4,2,5,5,3,6,3,7,7,5,Very like me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Somewhat unlike me,Somewhat unlike me,Somewhat like me,Very unlike me,Somewhat like me,Somewhat like me,Very like me,Somewhat like me,Very like me,Very unlike me,Very like me,Somewhat unlike me,Very like me,Somewhat like me,Very like me,Somewhat unlike me,Very like me,Somewhat unlike me,Very like me,Somewhat unlike me,Very like me,Somewhat like me,Very like me,Somewhat unlike me,Neither like or unlike me,Somewhat unlike me,5,5,5,4,3,3,5,5,5,3,3,4,5,3,5
0171,10/15/2018 14:41,18,Hispanic / Latino,Female,,Quite a bit,Somewhat,Very much,Quite a bit,Quite a bit,Very much,Very much,Somewhat,2,0,AM,20,8,30,AM,5.5,Once or twice a week,Less than once a week,Fairly good,Rather more an evening type than a morning type,6,1,5,1,5,1,5,7,3,5,6,5,6,5,Somewhat like me,Somewhat unlike me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Very unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,Very unlike me,Somewhat like me,Somewhat like me,Neither like or unlike me,Somewhat unlike me,Somewhat like me,Somewhat like me,Somewhat like me,Very unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,Somewhat like me,Very like me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Somewhat unlike me,Somewhat unlike me,5,6,6,2,5,3,5,5,5,3,5,5,5,5,5
0172,10/15/2018 15:20,21,Asian / Asian American,Male,,A little bit,Not at all,Somewhat,A little bit,A little bit,A little bit,Somewhat,Somewhat,1,0,AM,30,10,0,AM,8,Once or twice a week,Once or twice a week,Fairly good,Rather more an evening type than a morning type,3,6,4,1,3,3,5,5,3,3,2,5,3,4,Neither like or unlike me,Neither like or unlike me,Somewhat like me,Somewhat like me,Neither like or unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Neither like or unlike me,Very like me,Somewhat like me,Somewhat unlike me,Neither like or unlike me,Somewhat unlike me,Somewhat unlike me,Somewhat unlike me,Very like me,Somewhat unlike me,Somewhat like me,Neither like or unlike me,Somewhat like me,Somewhat like me,Somewhat like me,Neither like or unlike me,Somewhat like me,Very unlike me,Neither like or unlike me,Somewhat unlike me,Very like me,5,7,5,5,3,3,6,3,5,7,3,7,5,7,7
0173,10/14/2018 14:04,20,White / European American,Male,,A little bit,Quite a bit,Somewhat,A little bit,Somewhat,A little bit,A little bit,Somewhat,12,30,AM,5,9,22,AM,8,Not during the past month,Not during the past month,Very good,Rather more an evening type than a morning type,3,2,5,1,5,2,3,2,2,4,5,2,4,3,Very like me,Somewhat like me,Very like me,Somewhat unlike me,Somewhat like me,Very unlike me,Very like me,Somewhat like me,Very like me,Somewhat like me,Very like me,Neither like or unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Very like me,Neither like or unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,Somewhat like me,Very like me,Somewhat like me,Very like me,Somewhat unlike me,Neither like or unlike me,Somewhat unlike me,6,3,6,2,2,5,5,4,5,2,4,6,5,6,3
0174,10/15/2018 15:50,18,Asian / Asian American,Male,,Quite a bit,Quite a bit,Very much,A little bit,A little bit,A little bit,Somewhat,Somewhat,1,0,AM,10,8,30,AM,7.5,Less than once a week,Less than once a week,Fairly good,Rather more an evening type than a morning type,6,6,6,2,5,3,6,5,7,5,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0175,10/15/2018 15:42,18,Black / African American,Female,,Quite a bit,Somewhat,Quite a bit,Somewhat,Quite a bit,A little bit,Quite a bit,Somewhat,1,0,AM,15,8,30,AM,7,Less than once a week,Less than once a week,Fairly good,Rather more an evening type than a morning type,5,3,3,2,5,3,5,5,3,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0176,10/15/2018 16:09,18,"Black / African American,White / European American",Female,,Somewhat,Quite a bit,A little bit,A little bit,A little bit,Not at all,A little bit,A little bit,12,0,PM,5,8,0,AM,7.5,Not during the past month,Not during the past month,Very good,Definitely a morning type,5,3,5,1,5,2,6,6,5,4,3,5,5,5,Somewhat like me,Very like me,Somewhat like me,Very like me,Neither like or unlike me,Somewhat like me,Somewhat like me,Very like me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Very like me,Somewhat unlike me,Neither like or unlike me,Very unlike me,Neither like or unlike me,Somewhat unlike me,Somewhat like me,Neither like or unlike me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat unlike me,Somewhat unlike me,Neither like or unlike me,Somewhat like me,Very like me,Neither like or unlike me,Somewhat unlike me,Somewhat like me,5,6,3,6,3,7,5,3,5,4,4,3,3,4,3
0177,10/15/2018 16:07,18,Native American / Alaska Native,Female,,A little bit,Somewhat,Quite a bit,Somewhat,A little bit,A little bit,Quite a bit,Somewhat,2,40,AM,20,9,0,AM,6,Less than once a week,Not during the past month,Fairly good,Definitely an evening type,6,4,6,1,6,3,6,4,4,6,6,6,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0178,10/15/2018 13:57,19,Asian / Asian American,Female,,Somewhat,Quite a bit,Very much,Somewhat,Somewhat,Somewhat,Very much,Quite a bit,12,0,AM,15,7,0,AM,6.5,Less than once a week,Not during the past month,Fairly good,Rather more a morning type than an evening type,4,5,4,2,2,3,4,4,3,3,2,3,4,5,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Somewhat unlike me,Neither like or unlike me,Very unlike me,Somewhat like me,Somewhat like me,Neither like or unlike me,Somewhat like me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Somewhat like me,Neither like or unlike me,Very like me,Somewhat like me,Neither like or unlike me,Somewhat unlike me,Somewhat like me,Neither like or unlike me,Neither like or unlike me,Somewhat unlike me,Neither like or unlike me,Neither like or unlike me,4,4,3,3,4,4,3,4,5,3,3,5,4,4,3
0179,10/15/2018 17:18,18,Other,Female,,Very much,A little bit,Very much,Quite a bit,Quite a bit,A little bit,Quite a bit,Somewhat,1,30,AM,45,9,0,AM,6,Three or more times a week,Once or twice a week,Fairly good,Rather more an evening type than a morning type,6,2,2,1,4,2,2,3,5,6,5,5,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0180,10/15/2018 13:11,20,Asian / Asian American,Female,,A little bit,Somewhat,Somewhat,Somewhat,A little bit,A little bit,Quite a bit,A little bit,1,0,AM,4,8,45,AM,7.5,Less than once a week,Not during the past month,Fairly good,Rather more a morning type than an evening type,2,2,1,2,7,2,7,7,5,6,2,1,4,3,Neither like or unlike me,Very unlike me,Somewhat like me,Somewhat like me,Neither like or unlike me,Very unlike me,Somewhat like me,Neither like or unlike me,Very like me,Very unlike me,Somewhat unlike me,Neither like or unlike me,Very like me,Neither like or unlike me,Very like me,Neither like or unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,Very unlike me,Somewhat like me,Somewhat unlike me,Very like me,Somewhat unlike me,Neither like or unlike me,Somewhat unlike me,Somewhat like me,Very unlike me,Somewhat unlike me,Very unlike me,6,7,5,7,7,7,5,5,5,7,5,6,3,7,5
