participant,Start Date,age,race,gender,gender_other,prsri_1,prsri_2,prsri_3,prsri_4,prsri_5,prsri_6,prsri_7,prsri_8,psqi_1_hour,psqi_1_min,psqi_1_ampm,psqi_2,psqi_3_hour,psqi_3_min,psqi_3_ampm,psqi_4,psqi_5a,psqi_5b,psqi_6,meq_19,erqf_1,erqf_2,erqf_3,erqf_4,erqf_5,erqf_6,erqf_7,erqf_8,erqf_9,erqf_10,erqdf_1,erqdf_2,erqdf_3,erqdf_4,pers_1,pers_2,pers_3,pers_4,pers_5,pers_6,pers_7,pers_8,pers_9,pers_10,pers_11,pers_12,pers_13,pers_14,pers_15,pers_16,pers_17,pers_18,pers_19,pers_20,pers_21,pers_22,pers_23,pers_24,pers_25,pers_26,pers_27,pers_28,pers_29,pers_30,erqse_1,erqse_2,erqse_3,erqse_4,erqse_5,erqse_6,erqse_7,erqse_8,erqse_att,erqse_9,erqse_10,erqse_11,erqse_12,erqse_13,erqse_14
0093,10/4/2018 11:59,19,"Asian / Asian American,White / European American",Female,,A little bit,Quite a bit,Somewhat,A little bit,A little bit,Not at all,A little bit,A little bit,11,30,PM,15,8,0,AM,8,Less than once a week,Not during the past month,Fairly good,Rather more a morning type than an evening type,4,6,4,2,4,6,4,5,7,4,4,4,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0094,10/4/2018 12:49,17,Asian / Asian American,Female,,A little bit,Somewhat,Quite a bit,Not at all,Not at all,A little bit,A little bit,Not at all,12,5,AM,15,9,0,AM,8.5,Less than once a week,Less than once a week,Very good,Rather more an evening type than a morning type,4,7,5,1,6,3,6,6,4,5,4,4,4,4,Somewhat unlike me,Somewhat unlike me,Very like me,Somewhat like me,Very like me,Somewhat like me,Somewhat unlike me,Neither like or unlike me,Somewhat like me,Somewhat like me,Somewhat like me,Neither like or unlike me,Neither like or unlike me,Somewhat like me,Somewhat like me,Somewhat unlike me,Very like me,Somewhat like me,Somewhat unlike me,Very unlike me,Somewhat like me,Somewhat unlike me,Very like me,Somewhat like me,Somewhat unlike me,Somewhat unlike me,Neither like or unlike me,Somewhat like me,Very like me,Somewhat unlike me,5,7,5,3,3,6,5,4,5,7,5,6,5,7,4
0095,10/4/2018 14:00,19,Hispanic / Latino,Female,,Very much,Somewhat,Quite a bit,Very much,Very much,Somewhat,Quite a bit,Somewhat,1,30,AM,20,7,0,AM,5,Once or twice a week,Once or twice a week,Fairly bad,Rather more a morning type than an evening type,5,6,5,4,3,7,3,5,3,5,3,6,7,6,Somewhat like me,Somewhat unlike me,Somewhat unlike me,Somewhat like me,Very like me,Very like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat unlike me,Somewhat like me,Very like me,Very like me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,Very like me,Somewhat like me,Very like me,Very like me,Somewhat like me,Very like me,Very like me,Very like me,Very like me,Somewhat like me,Somewhat like me,Very like me,Very like me,6,6,6,7,6,7,6,6,5,7,6,5,6,6,6
0096,10/4/2018 15:25,18,Other,Male,,Very much,Somewhat,Very much,Quite a bit,Quite a bit,A little bit,Quite a bit,Quite a bit,2,0,AM,1,8,30,AM,6.5,Not during the past month,Not during the past month,Fairly good,Rather more an evening type than a morning type,6,7,6,1,6,5,7,7,7,7,7,7,7,7,Very like me,Very unlike me,Somewhat like me,Very unlike me,Somewhat like me,Neither like or unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,Very unlike me,Somewhat like me,Neither like or unlike me,Very like me,Very unlike me,Very like me,Very unlike me,Somewhat like me,Somewhat like me,Somewhat like me,Very unlike me,Very like me,Somewhat like me,Very like me,Very like me,Very like me,Neither like or unlike me,Somewhat like me,Somewhat unlike me,Somewhat unlike me,Somewhat unlike me,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7
0097,10/4/2018 15:58,18,Hispanic / Latino,Male,,Quite a bit,A little bit,Quite a bit,Quite a bit,Quite a bit,A little bit,Quite a bit,Quite a bit,2,0,AM,15,9,45,AM,6,Three or more times a week,Once or twice a week,Fairly bad,Definitely an evening type,3,2,3,2,2,1,3,2,2,2,5,2,5,2,Somewhat like me,Somewhat like me,Neither like or unlike me,Somewhat like me,Somewhat like me,Somewhat like me,Neither like or unlike me,Somewhat like me,Neither like or unlike me,Somewhat unlike me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat unlike me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Neither like or unlike me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,3,5,3,1,3,1,2,3,5,2,2,5,5,5,5
0098,10/4/2018 19:23,18,White / European American,Female,,A little bit,Somewhat,Somewhat,Not at all,Not at all,Not at all,Somewhat,Not at all,9,30,PM,45,5,15,AM,8,Less than once a week,Not during the past month,Fairly good,Rather more an evening type than a morning type,7,5,6,1,4,5,7,5,3,7,5,7,4,7,Very like me,Somewhat unlike me,Very like me,Somewhat unlike me,Somewhat like me,Very unlike me,Somewhat like me,Very unlike me,Very like me,Neither like or unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,Neither like or unlike me,Somewhat like me,Somewhat unlike me,Very like me,Somewhat unlike me,Somewhat like me,Very unlike me,Very like me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Very like me,Somewhat unlike me,Somewhat like me,Neither like or unlike me,Neither like or unlike me,Very unlike me,6,7,6,7,6,7,7,7,5,7,6,6,7,6,6
0099,10/4/2018 19:33,18,"Asian / Asian American,White / European American",Female,,Quite a bit,Somewhat,Quite a bit,Somewhat,Somewhat,Very much,Quite a bit,A little bit,12,30,AM,20,8,0,AM,6.5,Once or twice a week,Three or more times a week,Fairly bad,Rather more a morning type than an evening type,5,1,7,1,2,1,2,2,2,2,2,3,5,4,Very like me,Very like me,Somewhat like me,Very like me,Somewhat unlike me,Very like me,Very like me,Very like me,Somewhat unlike me,Somewhat like me,Very like me,Very like me,Very like me,Very like me,Somewhat like me,Very like me,Very like me,Very like me,Very like me,Very like me,Somewhat like me,Somewhat like me,Very like me,Very like me,Somewhat like me,Somewhat like me,Somewhat like me,Very like me,Very like me,Somewhat like me,2,2,1,1,1,2,1,1,5,2,1,1,1,2,2
0100,10/4/2018 19:38,19,White / European American,Female,,A little bit,Somewhat,Somewhat,Not at all,Not at all,Not at all,A little bit,Not at all,12,1,AM,30,9,0,AM,8,Three or more times a week,Not during the past month,Fairly good,Definitely an evening type,6,3,6,1,6,1,6,6,3,6,6,6,6,6,Very like me,Somewhat unlike me,Somewhat like me,Somewhat unlike me,Very like me,Somewhat unlike me,Very like me,Somewhat unlike me,Very like me,Very unlike me,Very like me,Somewhat unlike me,Very like me,Somewhat unlike me,Very like me,Somewhat unlike me,Very like me,Somewhat unlike me,Very like me,Somewhat unlike me,Very like me,Somewhat unlike me,Very like me,Very unlike me,Very like me,Very unlike me,Very like me,Very unlike me,Very like me,Somewhat unlike me,6,2,6,3,5,2,6,6,5,2,6,6,6,6,6
0101,10/4/2018 19:39,19,Asian / Asian American,Female,,Quite a bit,Somewhat,Quite a bit,Not at all,A little bit,Not at all,Somewhat,A little bit,1,0,AM,60,9,0,AM,7,Three or more times a week,Not during the past month,Fairly good,Definitely an evening type,3,6,5,3,4,6,3,3,4,4,4,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0102,10/4/2018 20:47,18,Black / African American,Female,,Quite a bit,Somewhat,Very much,Somewhat,Somewhat,Somewhat,Quite a bit,Somewhat,12,0,AM,10,8,30,AM,7,Less than once a week,Once or twice a week,Fairly good,Definitely an evening type,4,6,4,6,2,5,2,2,4,3,2,3,3,4,Very like me,Very like me,Somewhat like me,Somewhat like me,Neither like or unlike me,Neither like or unlike me,Somewhat like me,Somewhat unlike me,Somewhat like me,Neither like or unlike me,Somewhat like me,Somewhat like me,Neither like or unlike me,Somewhat like me,Very like me,Neither like or unlike me,Neither like or unlike me,Neither like or unlike me,Somewhat like me,Somewhat like me,Very like me,Neither like or unlike me,Somewhat like me,Neither like or unlike me,Very like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Neither like or unlike me,5,7,4,4,3,6,4,4,5,3,4,4,4,3,5
